,cos_sim_src_dst,l2_dist_src_dst,dot_src_dst,abs_diff_mean,abs_diff_max,popularity_src,popularity_dst,max_cos_srcnbr_dst,mean_cos_srcnbr_dst,mean_topk_cos_srcnbr_dst,num_src_neighbors,max_cos_dstnbr_src,mean_cos_dstnbr_src,mean_topk_cos_dstnbr_src,num_dst_neighbors,shared_neighbors,jaccard_neighbors,adamic_adar,preferential_attachment,src,dst,label
0,0.8613711121754876,0.5265527282654662,0.8613711121754876,0.07916631796140405,0.18892233251870472,4.3165,2.1215,0.7645703522492844,0.7645703522492844,0.7645703522492844,1,0.9634492048337497,0.8868037175005037,0.8868037175005037,2,0,0.0,0.0,4,0c1f3d1a-96ce-4d1e-87e2-9b273e083ce5,31f6ecd9-4aa1-4692-80ed-94edc6a86c2f,1
1,0.8761712250930163,0.49765203687959175,0.8761712250930163,0.07414956731317703,0.1964018471951331,,5.8313,0.7329992727482215,0.7329992727482215,0.7329992727482215,1,0.6763460595793658,0.6763460595793658,0.6763460595793658,1,1,0.25,0.9102392266268373,6,fc6683fc-8591-4eae-be7c-d83cb0d0f616,d576231e-c0b6-4a42-a4f4-011f06b9095c,1
2,0.664574767464231,0.8190546166581005,0.664574767464231,0.10473667130407166,0.3448037333963801,4.2134,2.6585,0.6650519673021392,0.6049903619135659,0.6049903619135659,2,0.8075433165923571,0.687543572949781,0.687543572949781,2,2,0.5,0.7213475204444817,9,f826b4d1-2dc3-4c4f-ba70-69b472320338,0f1083d8-fca9-40e3-b7bb-6cca7f15eff0,1
3,0.5775607997010448,0.9191726718065173,0.5775607997010448,0.13328967404019582,0.3210815720672817,4.1245,4.9858,0.9999999999985623,0.9999999999985623,0.9999999999985623,1,0.0,0.0,0.0,0,0,0.0,0.0,3,179b0045-5a0e-4ae8-940a-48f5a3895a35,ff66e2e2-73d2-4b15-861d-53dcf73e1f0c,1
4,0.8809327623180216,0.4879902410486651,0.8809327623180216,0.07460302547114983,0.16898964982061765,1.069,2.0175,0.0,0.0,0.0,0,0.9999999999979452,0.9999999999979452,0.9999999999979452,1,1,0.3333333333333333,0.0,4,a7d5b6b7-afed-41bf-814d-a24e43a40350,c1f938d9-ae6b-49c7-ba6e-19642137bb93,1
5,0.7854338964168113,0.655081832417507,0.7854338964168113,0.09167696390767424,0.2754875483707979,4.7133,0.301,0.9999999999981857,0.9999999999981857,0.9999999999981857,1,0.9999999999989158,0.8933395568616658,0.8933395568616658,2,0,0.0,0.0,6,18c4cc93-5c8a-40ca-bd52-1fd54c3690b1,2ca880f3-129c-41c1-930e-c6eff7eef61f,1
6,0.7813116538216837,0.6613446093747697,0.7813116538216837,0.0936957492552348,0.27062292283582934,4.7886,4.3958,0.0,0.0,0.0,0,0.9999999999986122,0.9999999999986122,0.9999999999986122,1,0,0.0,0.0,6,d6d739a5-fbd8-4d15-9d03-b57ebe6bd647,d0907e3c-c5db-41cd-b211-c1d41e87c917,1
7,0.5888783948417867,0.9067762735729551,0.5888783948417867,0.1284651584056915,0.39799585574314644,,3.3126,0.9999999999997458,0.9999999999997458,0.9999999999997458,1,0.0,0.0,0.0,0,0,0.0,0.0,6,f9a54e81-e82a-440f-b1d3-ec327a99a95a,be0efb95-8132-4e00-930b-51f9382f89f3,1
8,0.8731467030218715,0.5036929560235741,0.8731467030218715,0.07298180824980477,0.20270721206752093,3.048,,0.8738967282091232,0.7920872108239831,0.7920872108239831,2,0.9303576741500711,0.8348731813611128,0.8348731813611128,3,0,0.0,0.0,9,c0fbae32-1362-44c4-95e7-47a26e316a17,df580762-814e-4f5b-acd5-a91b4eb78bd0,1
9,0.9158677389830248,0.41020058755429495,0.9158677389830248,0.058028950066591374,0.1973039349188839,1.3477,5.01,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,3,2ae8e62f-9c8b-410b-8826-175e02822ac4,9207994d-81f5-48cc-89d2-023adff628cd,0
10,0.9537227235106722,0.30422779783477877,0.9537227235106722,0.043757366283284735,0.10229201824431787,4.4429,2.2189,0.9999999999982379,0.9999999999982379,0.9999999999982379,1,0.9999999999985054,0.9999999999985054,0.9999999999985054,1,0,0.0,0.0,4,a3c069d4-fed9-4289-ac83-5f0d05fed4cf,6bbb6dd2-f490-46d2-9ed8-286bebdd4228,1
11,0.6243096718011995,0.8668221596121962,0.6243096718011995,0.12063766672998558,0.4115438391068095,,3.4208,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,2,11cbaa50-de0a-4add-a75f-bec20dbfbb7e,a81207da-5093-427f-92b9-07d6484f0910,0
12,0.750977546069028,0.705722968208577,0.750977546069028,0.09496842086999444,0.3757012078722768,5.4499,3.2288,0.800130646420633,0.7578979344958597,0.7578979344958597,3,0.8463691126232891,0.7613609600448337,0.7613609600448337,3,0,0.0,0.0,36,06538137-47eb-4dd6-bb78-5c8afa1a1885,55bd6549-3fc3-467f-b881-5dd8b80071a4,1
13,0.9273764088912713,0.3811130832368135,0.9273764088912713,0.056762083794348106,0.1303668775323784,4.5369,2.6742,0.9999999999987919,0.9999999999987919,0.9999999999987919,1,0.9999999999980212,0.9999999999980212,0.9999999999980212,1,0,0.0,0.0,1,a51fe669-5d9a-456f-b9b8-8149ed6ca703,178c5b94-d844-4675-95c3-c1eb058e3eb8,1
14,0.9500363550699982,0.31611278027855455,0.9500363550699982,0.04657441701420973,0.10862265557079454,2.6766,3.5453,0.9999999999981808,0.9999999999981808,0.9999999999981808,1,0.0,0.0,0.0,0,1,0.25,0.0,6,f0936b5d-19c6-4ba4-b85f-78b46666a58a,960333a4-dbe8-400e-bf4e-1e25d52204ba,1
15,0.8514766176621372,0.5450199672240894,0.8514766176621372,0.07381110293065932,0.1965399450115295,3.7814,5.8495,0.8280337192483666,0.8280337192483666,0.8280337192483666,1,0.8754235706838467,0.8754235706838467,0.8754235706838467,1,0,0.0,0.0,6,8131a4c3-0bcd-4be5-bd32-e36e52638d41,6c44e99b-3450-45b7-b240-6e7026d0bcff,1
16,0.552528537251955,0.9460142311246765,0.552528537251955,0.13164224886222348,0.35734732879316383,0.8771,2.8893,0.758167557882409,0.5381908990100023,0.6742361502567027,5,0.47987866372904553,0.47987866372904553,0.47987866372904553,1,0,0.0,0.0,15,ad72116d-7260-4164-9bd4-6060ebba159a,61dcaf8f-6036-4849-a1de-26d3c85db4a7,1
17,0.755709808486178,0.6989852523663801,0.755709808486178,0.09830933856942121,0.2917981909410007,1.5176,2.1607,0.999999999999654,0.999999999999654,0.999999999999654,1,0.9999999999983937,0.9999999999983937,0.9999999999983937,1,0,0.0,0.0,1,4fbd6df0-d5d9-4717-ac8c-f5c34a0e7881,9fe7daa6-2f10-4c17-a220-e0c2a10526aa,1
