threshold,precision,link_recall,nolink_recall,balanced_recall,f1,accuracy,tp,fp,tn,fn
0.01,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.02,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.03,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.04,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.05,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.06,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.07,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.08,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.09,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.1,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.15,0.8722,0.9995,0.0233,0.5114,0.9315,0.8722,1999,293,7,1
0.2,0.8811,0.997,0.1033,0.5502,0.9355,0.8804,1994,269,31,6
0.25,0.8939,0.994,0.2133,0.6037,0.9413,0.8922,1988,236,64,12
0.3,0.9085,0.988,0.3367,0.6623,0.9466,0.903,1976,199,101,24
0.35,0.9216,0.982,0.4433,0.7127,0.9509,0.9117,1964,167,133,36
0.4,0.9326,0.9755,0.53,0.7528,0.9536,0.9174,1951,141,159,49
0.45,0.9407,0.9685,0.5933,0.7809,0.9544,0.9196,1937,122,178,63
0.5,0.9522,0.9555,0.68,0.8178,0.9538,0.9196,1911,96,204,89
