threshold,precision,link_recall,nolink_recall,balanced_recall,f1,accuracy,tp,fp,tn,fn
0.01,0.6723,0.996,0.029,0.5125,0.8027,0.6737,1992,971,29,8
0.02,0.6938,0.9925,0.124,0.5582,0.8167,0.703,1985,876,124,15
0.03,0.7151,0.9925,0.209,0.6008,0.8312,0.7313,1985,791,209,15
0.04,0.7508,0.991,0.342,0.6665,0.8543,0.7747,1982,658,342,18
0.05,0.7653,0.9895,0.393,0.6912,0.8631,0.7907,1979,607,393,21
0.06,0.7891,0.986,0.473,0.7295,0.8766,0.815,1972,527,473,28
0.07,0.809,0.9845,0.535,0.7598,0.8881,0.8347,1969,465,535,31
0.08,0.8215,0.9825,0.573,0.7777,0.8948,0.846,1965,427,573,35
0.09,0.8327,0.9805,0.606,0.7932,0.9006,0.8557,1961,394,606,39
0.1,0.8459,0.98,0.643,0.8115,0.908,0.8677,1960,357,643,40
0.15,0.8808,0.972,0.737,0.8545,0.9242,0.8937,1944,263,737,56
0.2,0.8884,0.967,0.757,0.862,0.926,0.897,1934,243,757,66
0.25,0.8933,0.963,0.77,0.8665,0.9269,0.8987,1926,230,770,74
0.3,0.9026,0.9545,0.794,0.8742,0.9278,0.901,1909,206,794,91
0.35,0.9107,0.949,0.814,0.8815,0.9295,0.904,1898,186,814,102
0.4,0.9255,0.9445,0.848,0.8962,0.9349,0.9123,1889,152,848,111
0.45,0.9347,0.9375,0.869,0.9032,0.9361,0.9147,1875,131,869,125
0.5,0.9442,0.931,0.89,0.9105,0.9376,0.9173,1862,110,890,138
