threshold,precision,link_recall,nolink_recall,balanced_recall,f1,accuracy,tp,fp,tn,fn
0.01,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.02,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.03,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.04,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.05,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.06,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.07,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.08,0.8696,1.0,0.0,0.5,0.9302,0.8696,2000,300,0,0
0.09,0.8695,0.9995,0.0,0.4998,0.93,0.8691,1999,300,0,1
0.1,0.8695,0.9995,0.0,0.4998,0.93,0.8691,1999,300,0,1
0.15,0.8744,0.999,0.0433,0.5212,0.9326,0.8743,1998,287,13,2
0.2,0.8815,0.9965,0.1067,0.5516,0.9355,0.8804,1993,268,32,7
0.25,0.8983,0.994,0.25,0.622,0.9437,0.897,1988,225,75,12
0.3,0.9093,0.9875,0.3433,0.6654,0.9468,0.9035,1975,197,103,25
0.35,0.9256,0.9825,0.4733,0.7279,0.9532,0.9161,1965,158,142,35
0.4,0.9344,0.976,0.5433,0.7597,0.9548,0.9196,1952,137,163,48
0.45,0.9458,0.969,0.63,0.7995,0.9573,0.9248,1938,111,189,62
0.5,0.9527,0.9565,0.6833,0.8199,0.9546,0.9209,1913,95,205,87
