ts,input_count,output_count,reduction_pct,threshold,elapsed_ms
1765393563,2,1,50.00,0.650,0
1765393563,13,1,92.31,0.650,0
1765393563,31,1,96.77,0.650,0
1765393563,16,1,93.75,0.650,1
1765393563,1,1,0.00,0.650,0
1765393563,27,1,96.30,0.650,0
1765393563,9,1,88.89,0.650,0
1765393563,8,2,75.00,0.650,0
1765393563,15,1,93.33,0.650,0
1765393563,18,1,94.44,0.650,0
1765393563,1,1,0.00,0.650,0
1765393563,1,1,0.00,0.650,0
1765393563,40,2,95.00,0.650,0
1765393563,70,3,95.71,0.650,1
1765393563,27,1,96.30,0.650,0
1765393563,15,1,93.33,0.650,0
1765393563,4,1,75.00,0.650,0
1765393563,27,1,96.30,0.650,0
1765393563,2,1,50.00,0.650,0
1765393563,12,1,91.67,0.650,0
1765393563,4,1,75.00,0.650,0
1765393563,27,1,96.30,0.650,1
1765393563,4,1,75.00,0.650,0
1765393563,18,1,94.44,0.650,0
1765393563,10,2,80.00,0.650,0
1765393563,4,1,75.00,0.650,0
1765393563,2,1,50.00,0.650,0
1765393563,2,1,50.00,0.650,0
1765393563,1,1,0.00,0.650,0
1765393563,1,1,0.00,0.650,0
1765393563,1,1,0.00,0.650,0
1765393563,6,3,50.00,0.650,0
1765393563,4,2,50.00,0.650,0
1765393563,4,3,25.00,0.650,0
1765393563,3,2,33.33,0.650,0
1765393563,1,1,0.00,0.650,0
1765393563,1,1,0.00,0.650,0
1765393563,2,1,50.00,0.650,0
1765393563,2,1,50.00,0.650,0
1765393563,4,2,50.00,0.650,0
1765393563,3,2,33.33,0.650,0
1765393563,1,1,0.00,0.650,0
1765393563,1,1,0.00,0.650,0
1765393563,2,1,50.00,0.650,0
1765393563,1,1,0.00,0.650,0
1765393563,1,1,0.00,0.650,0
1765393563,1,1,0.00,0.650,0
1765393563,1,1,0.00,0.650,0
1765393563,1,1,0.00,0.650,0
1765393563,1,1,0.00,0.650,0
1765393563,2,1,50.00,0.650,0
1765393563,1,1,0.00,0.650,0
1765393563,2,1,50.00,0.650,0
1765393563,2,1,50.00,0.650,0
